alibi_scenario_type,claimed_location,evidence_location,conflict_type,possible_explanations,key_validation_question,resolution_paths,notes
timestamp_mismatch,cafeteria,main corridor,TMP,memory drift; device clock mismatch,What did you use to check the time?,reconcile timestamps; adjust reliability,Non-operational temporal reasoning only.
overlapping_presence,office,storage room,LOC,unnoticed movement; wrong door log,Can you describe your movements just before and after?,map plausible movement window,Fictional door log logic.
access_mismatch,lobby,restricted area,ALI,badge borrowed; mistaken identity,Has anyone used your badge recently?,cross-verify badge timeline,Avoids real-world access procedures.
route_confusion,stairs,elevator area,LOC,took different route than remembered,Which path do you recall taking?,align paths with timeline,Focus on logical possibilities.
memory_gap,home,no confirmed presence,TMP,forgot intermediate stop; inaccurate recall,What’s the earliest moment you're certain about?,rebuild timeline anchor,Fictional memory handling.
partial_alibi,parking lot,adjacent shop,ALI,brief detour; misremembered stop,Did you go anywhere before heading home?,expand timeline range,Safe narrative logic.
identity_mixup,outside gate,inner hall,ID,similar clothing; mistaken sighting,What specific detail helped you recognize yourself in that moment?,verify recognition reliability,Fictional identity logic.
location_swap,bench area,side entrance,LOC,misunderstood reference point,Which landmark were you closest to?,clarify spatial frame,Spatial reasoning only.
time_block_shift,living room,street corner,TMP,shifted memory block; event blending,What event happened just before the moment you recall?,separate blended memories,Safe psychological framing.
misread_event,balcony,kitchen window,CAU,event heard from different origin,Where did the sound seem to come from?,align sensory cues,No operational acoustics.
double_booking,meeting room,bus stop,ALI,timeline overlap confusion,Can you place the meeting in relation to another event?,resolve time stacking,Safe sequence logic.
access_delay,car_parking,building lobby,TMP,delay unaccounted for; queue forgotten,Was there anything that slowed you down?,identify delay gap,Fictional travel-time reasoning.
ambiguous_space,near exit,mid-hallway,LOC,memory reconstruction; uncertain boundaries,How do you remember the space around you?,anchor position description,Safe spatial logic.
similar_zone,reading area,study room,LOC,rooms look similar,What objects do you recall seeing?,match environmental cues,Avoids surveillance detail.
crowd_confusion,corridor,gathering hall,ID,crowd movement leading to misplacement,Did you stop anywhere during the crowd movement?,map transitions,Fictional crowd logic.
momentary_return,outdoors,indoor foyer,TMP,brief indoor return not recalled,Did you re-enter the building at any point?,check for micro-transitions,Safe micro-movement reasoning.
light_condition_error,street corner,alley,LOC,misjudged surroundings under dim light,How well-lit was the area?,adjust reliability score,No real forensic photometry.
noise_distortion,room A,room B,CAU,sound bounced differently; walls altered perception,What direction did the sound seem strongest?,re-map cause-effect,Fictional acoustic interpretation.
object-driven_confusion,storage area,supply closet,LOC,confusion due to similar objects,What objects did you interact with?,resolve location similarity,Contextual differentiation.
event_reordering,break area,restroom,TMP,events mentally reordered under stress,What happened immediately before the moment you recall?,restore event sequence,Non-operational psychological logic.
wrong-floor_assumption,second floor,third floor,LOC,similar layout caused floor confusion,How did you identify which floor you were on?,verify vertical orientation,Fictional building logic.
transit_overlap,tram stop,bike path,TMP,forgot mode switch; timeline blur,How did you travel between locations?,clarify travel sequence,Fictional transit logic.
landmark_misread,garden,south courtyard,LOC,mistaken landmark; mirrored layout,Which landmark did you rely on?,anchor real reference,Safe spatial reconstruction.
visual_echo,atrium,upper balcony,ID,reflection mistaken as presence,Did you see direct or reflected movement?,disentangle reflection,Fiction-only visual reasoning.
brief_encounter_gap,street kiosk,nearby alley,ALI,micro-stop forgotten,Did you pause anywhere briefly?,expand micro-events,Narrative-safe.
shortcut_memory,side street,central road,LOC,shortcut not consciously registered,Which streets do you remember crossing?,trace possible detour,Non-operational urban logic.
clock_reflection_error,office lounge,reception desk,TMP,read mirrored time display,Where was the clock you checked?,correct temporal reading,Fictional time logic.
audio_overlap,storage wing,loading bay,CAU,two sounds blended,Did noises overlap in your memory?,separate sources,No real acoustic reconstruction.
shadow_confusion,entry hall,garage ramp,ID,silhouettes similar,What silhouette details stood out?,differentiate visual cues,Fictional body recognition.
micro-detour,mailbox corner,neighbor hallway,ALI,unregistered pause to check something,Did you stop for any small task?,expand plausible gap,Safe timeline widening.
spacing_error,front gate,side passage,LOC,confused spatial orientation,Which direction were you facing?,orient spatial axis,Synthetic building layout.
