event_type,required_data,optional_data,anomaly_type,anomaly_description,cross_check,notes
mental_shift,statement,emotional_tone,PSY,tone shifts from nervous to overly calm within same claim,compare tone markers across statements,fictional emotional reasoning only
hesitation_gap,answer,timestamp,PSY,significant pause before recalling simple detail,align pause with stress indicators,keep abstract
overjustification,claim,extra_context,PSY,gives overly detailed justification for trivial action,check length vs relevance,safe pattern
memory_dropout,sequence,event_count,PSY,forgets middle part of sequence but recalls ending vividly,compare recalled anchors,synthetic amnesia pattern
emotional_flatline,tragic_event,voice_notes,PSY,no emotional change when describing disturbing event,map affect vs claim,fictional psychological trait
panic_spike,description,verbal_markers,PSY,sudden stutter spike when mentioning specific person,compare fluency windows,avoid real diagnostic cues
narrative_overcontrol,story,word_choice,PSY,speech sounds rehearsed with identical phrasing repeated,check repeated lexical units,safe fictional scripting
detail_evasion,question,redirect_note,PSY,keeps redirecting from requested detail,track deflection frequency,"logic only, no tactics"
stress_inconsistency,fact,voice_pitch,PSY,voice stress markers mismatch with claimed calmness,compare intensity patterns,stay fictional
confusion_loop,story_fragment,iteration_count,PSY,repeats same micro-story with minor inconsistencies,align repeated fragments,safe anomaly
emotion_flip,event,affect_shift,PSY,switches from angry to cheerful in seconds when describing timeline,cross-check temporal anchors,synthetic behavior
pressure_rambling,question,irrelevant_info,PSY,introduces irrelevant long monologue when pressured,map digression density,fictional only
confidence_spike,claim,verbal_certainty,PSY,sudden overconfidence after uncertain answers,compare certainty markers,safe abstraction
frozen_response,critical_detail,response_time,PSY,extreme delay before giving innocuous detail,check timing consistency,narrative tension only
micro_inconsistency,short_answer,lexical_variation,PSY,changes tiny but meaningful verbs across repetitions,track micro-verb drift,linguistic anomaly
avoidant_minimalism,question,response_length,PSY,gives ultra-short replies only when asked about location,check category-specific brevity,fictional avoidance
irrelevant_emphasis,story,highlight_term,PSY,overemphasizes minor objects repeatedly,compare relevance weighting,logic-only
self_doubt_marker,claim,self_correction,PSY,contradicts own certainty immediately,analyze internal reversals,safe inconsistency
stress_misfire,event,emotional_context,PSY,applies emotion to wrong part of story,check misaligned emotional tagging,synthetic
emotional_overprecision,detail,affect_marker,PSY,describes emotional state with unnatural precision,compare affect granularity,fictional psychology
temporal_blur,sequence,time_anchor,PSY,gives vague or drifting time anchors when pressed,compare stated vs implied time,fictional fogging
excessive_politeness,answer,phrasing,PSY,sudden shift to overly formal politeness under stress,track respect-form variation,synthetic pressure cue
contradiction_pivot,claim,revision_note,PSY,abruptly changes stance mid-sentence,compare before/after pivot,safe pattern
context_slippage,story,setting_detail,PSY,slips between settings without realizing,check setting continuity,fictional inconsistency
overstated_clarity,description,precision_note,PSY,claims perfect clarity about complex moment,map clarity vs complexity,synthetic exaggeration
pause_cluster,answer,timing_map,PSY,multiple tiny pauses appear only for certain topics,compare pause density,narrative tension
affect_scramble,event,emotion_label,PSY,mixes incompatible emotions in one line,cross-match emotion sets,fictional mixture
redirect_latch,question,topic_switch,PSY,always answers adjacent topic instead of main one,map switch regularity,safe avoidance
certainty_wave,claim,intensity_marker,PSY,certainty rises and falls rapidly within same explanation,track intensity drift,abstract fictional cue
narrative_tightening,story,phrase_rigidity,PSY,sentences become too rigid and rehearsed suddenly,compare phrasing elasticity,fictional scripting
spatial_confusion,location,orientation_note,PSY,confuses left/right or direction repeatedly,check directional markers,synthetic mapping error
verbal_static,statement,noise_marker,PSY,adds filler sounds only during specific mentions,track filler clustering,fictional noise
reverse_priority,sequence,importance_rating,PSY,labels trivial moments as crucial repeatedly,compare importance weighting,safe anomaly
neutral_mask,claim,affect_suppression,PSY,emotion suppressed only during sensitive sections,compare suppression zones,fictional restraint
amplified_emphasis,statement,stress_word,PSY,overly stresses a random word each time,track stress targets,synthetic emphasis
looped_apology,answer,apology_count,PSY,repeats apologies even when not challenged,compare apology frequency,fictional guilt cue
fragment_drift,story_fragment,fragment_shift,PSY,details shift slightly each retelling,measure drift magnitude,safe narrative drift
semantic_delay,answer,word_retrieval,PSY,delays picking simple words only in tense moments,compare retrieval times,fictional hesitation
