"motive_category","surface_motive","hidden_motive","trigger_event","contradiction_risk","behavioral_indicators","hypothesis_value","notes"
"miscommunication","avoid conflict","fear of being blamed","tense conversation","medium","hesitation; inconsistent phrasing","0.62","Common cause of benign contradictions."
"opportunity","take unused item","seize unexpected chance","object left unattended","low","quick decisions; minimal justification","0.55","Often mistaken for intentional wrongdoing."
"fear","avoid punishment","protect someone else","unexpected discovery","high","defensiveness; vague timeline","0.78","Fear produces strong timeline distortions."
"obligation","follow instruction","pressure from authority","direct request","medium","careful wording; minimal detail","0.60","Useful for hierarchical settings."
"personal_gain","improve situation","avoid financial loss","resource shortage","medium","over-explanation; selective memory","0.74","Classic narrative motive."
"curiosity","investigate noise","seek excitement","unusual sound","low","animated tone; detail-rich recall","0.40","Usually benign but misread as suspicious."
"self_preservation","protect reputation","avoid embarrassment","public attention","medium","deflection; minimal contradiction resolution","0.70","Subtle motive in social settings."
"compassion","help someone","hide their mistake","someone in distress","medium","reluctant sharing; softened language","0.58","Often introduces bystander ambiguity."
"misunderstanding","return wrong item","assume property belonged to them","similar objects present","low","apologetic tone; detail gaps","0.50","Benign but can mimic deceptive motive."
"jealousy","claim fairness","resent unequal treatment","favoritism event","high","sharp tone; selective focus","0.82","Strong narrative driver but fictionalized."
"avoidance","leave early","escape stressful scene","rising tension","medium","abrupt statements; incomplete timeline","0.56","Low-level motive with timeline gaps."
"protective_instinct","stay nearby","monitor someone","perceived threat","low","watchfulness; repeated mentions","0.44","Often misinterpreted as controlling behavior."
"pride","prove competence","avoid appearing weak","task challenge","medium","assertive phrasing; overcommitment","0.63","Produces strong yet flawed claims."
"frustration","act impulsively","release tension","argument outcome","medium","sharp contradictions; short answers","0.66","Useful for sudden-event cases."
"accident","fix mistake","hide clumsiness","object falls or breaks","low","embarrassed tone; partial admissions","0.52","Harmless motive often mistaken for intent."
"resource_conflict","take resource","prior grievance","limited supply","medium","intense tone; selective memory","0.72","Narrative tension in group settings."
"loyalty","follow friend","protect group image","group decision-making","medium","shared phrasing; coordinated stories","0.69","Can produce synchronized but flawed accounts."
"altruism","assist quietly","avoid recognition","someone needing help","low","understated recollection; minimal detail","0.42","Usually benign motive."
"curiosity_mistaken","inspect object","misinterpret context","unusual object seen","low","exploratory tone; mismatched detail recall","0.47","Often generates harmless contradictions."
"fear_of_confrontation","walk away","avoid escalation","heated discussion","medium","short responses; vague time references","0.59","Leads to incomplete timeline fragments."
"guilt","end argument","manage inner doubt","music turned off","low","speaks softly; downplays role","0.60","Useful to balance stronger motives."
"revenge","bring up old issue","settle quiet score","argument nearby","high","sharp tone; contradicts earlier detail","0.81","Common in simmering conflict arcs."
"habit","do as usual","avoid thinking too much","routine task","low","automatic replies; minimal detail","0.43","Benign pattern that blurs specifics."
"boredom","join in","seek stimulation","long wait","low","casual tone; playful exaggeration","0.41","Adds noise rather than clear motive."
"social_pressure","agree quickly","avoid group rejection","group decision","medium","echoes others; shared phrasing","0.64","Useful in crowd driven scenes."
"desperation","take risk","escape worsening situation","deadline approaching","high","tense voice; fragmented timeline","0.83","Often paired with resource strain."
"protect_child","change subject","shield younger person","child nearby","medium","gentle tone; vague references","0.67","Introduces protective omissions."
"professional_duty","follow protocol","preserve job security","surprise inspection","medium","formal language; careful wording","0.69","Anchors motives in role identity."
"territoriality","stand ground","defend personal space","crowded room","medium","firm tone; repeated justifications","0.71","Useful for boundary disputes."
"competition","volunteer first","outperform peer","staff briefing","medium","confident tone; dismisses others","0.68","Adds subtle rivalry to accounts."
"romantic_interest","offer help","gain closeness","chance encounter","medium","over attentive behavior; soft tone","0.57","Can distort focus on central facts."
"status_anxiety","speak loudly","avoid seeming unimportant","manager arrival","medium","grand claims; thin detail","0.62","Inflates role while hiding gaps."
"paranoia","double check","suspect hidden threat","unusual smell","high","hypervigilance; scattered details","0.79","Generates rich but unstable narratives."
"fatigue","cut corners","save remaining energy","late night cleanup","low","slow responses; fading detail","0.48","Explains gentle degradation of recall."
"carelessness","skip step","underestimate impact","routine task","low","casual shrug; quick topic changes","0.46","Often behind small but key errors."
"overconfidence","insist on version","ignore doubt","public question","medium","firm certainty; resists correction","0.71","Hardens early impressions."
"testing_boundaries","bend rule","see what happens","new instruction","medium","playful tone; shifting stance","0.58","Useful for low stakes norm breaches."
"people_pleasing","say yes","avoid disappointing others","direct favor request","medium","soft tone; rapid agreement","0.61","Can produce conflicting promises."
"suspicion","observe closely","prepare for worst","noise from hallway","medium","alert gaze; cautious phrasing","0.63","Adds tension without clear proof."
"hope","give benefit","wish for good outcome","encouraging remark","low","optimistic tone; selective focus","0.45","Softens interpretation of events."
"nostalgia","linger in place","relive old memory","familiar setting","low","drifting focus; emotional tone","0.44","Pulls attention away from present facts."
"regret","explain slowly","search for better choice","after mistake found","medium","heavy sighs; self correcting story","0.66","Shapes narrative toward learning."
"obligation_family","stay involved","avoid family criticism","relative present","medium","careful neutrality; guarded tone","0.65","Useful in kin based conflicts."
"financial_stress","accept deal","avoid future loss","payment discussion","medium","tense tone; cost focused detail","0.72","Connects motive to economic strain."
"peer_influence","join action","fit group rhythm","team activity","medium","mirrors behavior; shared jokes","0.59","Blurs individual motive boundaries."
"confusion","answer poorly","mask not understanding","fast questioning","medium","hesitant starts; abrupt stops","0.55","Frequently misread as deception."
"overwhelm","step back","avoid extra load","task stacking","medium","short answers; long pauses","0.56","Signals capacity limits more than intent."
"routine_shortcut","skip check","rely on habit","repetitive task","low","casual tone; quick completion","0.49","Creates small contradictions over time."
"impression_management","tell polished story","hide messy parts","manager arrival","medium","smooth phrasing; rehearsed lines","0.73","Classic social narrative shaping."
"miscommunication","repeat assumption","miss new detail","change of schedule","medium","answers indirectly; vague terms","0.61","Reinforces already skewed views."
