alibi_claim_type,forensic_artifact,consistency_score,inconsistency_warning,likely_explanation,validation_question
left_before_event,dust_smear_fresh,0.32,Fresh disturbance contradicts timeline.,Passed by unknowingly.,Could someone have brushed past you?
did_not_touch_bookshelf,bookend_shifted,0.38,Recent movement detected.,Accidental bump.,Were you reaching for anything nearby?
never_wore_gloves,glove_fiber_trace,0.42,Fiber presence unexpected.,Shared storage area.,Did anyone lend you gloves recently?
was_on_phone_call,chair_swivel_mark,0.28,Movement suggests presence.,Restless sitting.,Did you adjust the chair during the call?
did_not_enter_office,pen_cap_on_floor,0.35,Dropped item suggests entry.,Borrowed pen earlier.,Have you used this pen today?
never_used_computer,keyboard_oil_residue,0.2,Fresh finger oils present.,Checked time or notifications.,Did you tap any key absentmindedly?
stayed_in_cafeteria,coffee_drip_trail,0.55,Trail leads away from cafeteria.,Carried empty cup.,Did you walk elsewhere holding a cup?
did_not_handle_box,cardboard_fiber_transfer,0.4,Fiber match suggests contact.,Stack collision.,Did you move past a pile of boxes?
never_walked_into_storage,airborne_dust_plume,0.6,Disturbed dust suggests entry.,Door draft caused shift.,Was the door opened while you were nearby?
did_not_open_closet,hinge_rub_fresh,0.33,Mark indicates recent opening.,Someone else accessed.,Who else uses this closet?
was_downstairs,ceiling_particle_on_shirt,0.52,Fallout suggests being upstairs.,Walked under renovation spot.,Were workers active nearby?
never_touched_frame,smudge_on_edge,0.29,Smudge indicates handling.,Accidental steadying.,Did you lose balance at any point?
never_held_flashlight,battery_residue_trace,0.25,Residue pattern matches device.,Shared tool.,Did anyone hand you tools?
did_not_open_package,torn_seal_fragment,0.31,Seal damage recent.,Shift during delivery.,Were you present during unpacking?
never_used_marker,ink_speck_on_hand,0.49,Speck suggests usage.,Marker leaked in pocket.,Were you carrying anything else?
did_not_move_rug,drag_mark_arc,0.45,Arc suggests reposition.,Foot caught edge.,Did you stumble over the rug?
was_in_meeting_room,wood_chip_on_clothes,0.56,Chip origin mismatched.,Chair scrape transfer.,Were chairs being moved nearby?
did_not_touch_curtain,hand_oil_trace_low,0.35,Oil trace contradicts claim.,Brushed while passing.,Did you walk close to the window?
never_sat_on_bed,blanket_shift_fresh,0.4,Indentation suggests sitting.,Pet movement.,Any pets around the room?
did_not_enter_attic,loose_insulation_fluff,0.51,Material exclusive to attic.,Transfer from stored box.,Did you handle old items recently?
never_leaned_on_wall,shoulder_hair_contact,0.37,Contact hair contradicts claim.,Crowded hallway nudge.,Was it crowded around that time?
did_not_use_remote,skin_oil_pattern,0.33,Pattern suggests recent handling.,Shared remote.,Did someone pass you the remote?
never_opened_fridge,condensation_drop_pattern,0.27,Drop pattern too recent.,Closed by someone else.,Were you nearby when someone opened it?
did_not_light_candle,soot_trace_minimal,0.44,Heat residue unexpected.,Passed by recently extinguished candle.,Were candles lit in your presence?
never_approached_desk,staple_fragment_on_clothes,0.41,Fragment suggests proximity.,Shared workspace.,Did you pick something up from the floor?
never_held_coin,metallic_smell_transfer,0.36,Odor indicates recent contact.,Coins in pocket.,Did you go through your pockets?
was_out_all_day,indoor_only_pollen,0.54,Pollen type inconsistent.,Clothing reused.,What jacket were you wearing earlier?
did_not_touch_doorknob,grip_pattern_oil,0.23,Grip suggests handling.,Tried knob unconsciously.,Did you test the door earlier?
never_used_towel,towel_fiber_on_wrist,0.48,Fiber match suggests contact.,Brushed past laundry.,Did you pass near drying towels?
never_entered_bathroom,water_drop_on_sleeve,0.6,Drop suggests sink proximity.,Nearby splash.,Were others washing hands beside you?
did_not_move_planter,soil_particle_cluster,0.39,Cluster indicates contact.,Shoe nudged base.,Did you walk too close to the planter?
was_on_break_outside,paperclip_near_shoe,0.42,Office supply indoors only.,Transfer from coworker.,Did anyone bump into you?
did_not_touch_suitcase,zipper_fiber_trace,0.28,Fresh fiber caught.,Carried by friend.,Were you helping someone carry luggage?
never_adjusted_blinds,blind_dust_smear,0.21,Smear suggests movement.,Airflow shift.,Was the window open earlier?
never_used_printer,toner_speck_on_cuff,0.26,Speck indicates usage.,Nearby printing.,Was the printer active near you?
did_not_hold_envelope,glue_smear_low,0.38,Smear suggests sealing.,Handled sealed letters.,Did you sort mail earlier?
never_touched_stair_gate,hinge_oil_trace,0.44,Trace suggests opening.,Pet pushed gate.,Any pets using that area?
did_not_use_water_bottle,condensation_ring_on_desk,0.58,Ring suggests placement.,Someone borrowed your desk.,Was anyone sitting at your desk?
never_removed_poster,corner_fold_fresh,0.47,Fold suggests tampering.,Air current shift.,Did someone open a window recently?
did_not_enter_basement,concrete_dust_on_shoe,0.51,Dust suggests basement.,Walked near construction bags.,Were materials stored upstairs?
never_opened_letterbox,paper_edge_cut,0.42,Cut indicates mail handling.,Sorting pile.,Did you sort any papers today?
was_watching_tv,couch_fiber_transfer,0.63,Fiber match supports claim.,Leaned differently.,Did you change sitting position?
