case_archetype,setup,key_events,hinge_clue,contradiction_type,red_herring,resolution_pattern,explanation,hypothesis_slots,difficulty
theft,An item disappears during a busy gathering,arrival; item missing; conflicting statements,A timestamped photo showing the item still present,TMP,a guest acting nervous,misplaced item,The item was never stolen; it was moved earlier without notice,H1: accidental misplacement; H2: intentional theft; H3: misunderstanding,low
misdirection,A loud noise causes confusion in a quiet hall,noise; witness panic; door movement,The noise came from a dropped object,CAU,a broken window unrelated to the event,false assumption,The noise was unrelated; attention shifted away from real cause,H1: break-in attempt; H2: unrelated accident; H3: mechanical fault,medium
identity_confusion,Two people wearing similar coats cross paths,coat swap; mistaken sighting; conflicting witness,A witness describes a detail only one person had,ID,muddy footprints leading wrong direction,misidentification,Confusion arose due to coat similarity,H1: mistaken identity; H2: intentional disguise; H3: witness memory distortion,medium
timeline_gap,Someone claims to be away during an incident,alibi claimed; event occurs; log inconsistency,A log entry shows their access earlier than remembered,TMP,a misplaced keycard,memory error,The alibi remains partly valid with timing drift,H1: lying; H2: memory drift; H3: incorrect system timestamp,medium
misunderstanding,A bag taken by the wrong person accidentally,bag switch; realization; report,The two bags are identical except for a small tag,ID,an unrelated stranger walking fast,benign mixup,No crime occurred; mistaken property pickup,H1: theft; H2: confusion; H3: intentional trick,low
lost_item,A ring goes missing after a dimly lit dinner,lights flicker; item disappears; guests move about,A chair cushion indentation indicating it slipped inside,TMP,a jealous relative,simple loss,The ring fell through the chair due to movement,H1: petty theft; H2: accidental fall; H3: intentional hiding,low
false_alarm,An alarm sounds during a calm meeting,alarm; confusion; rushed evacuation,A maintenance note that the detector was malfunctioning,CAU,smoke smell from kitchen,technical fault,The alarm was triggered by a sensor glitch,H1: real hazard; H2: prank; H3: system defect,low
fabricated_alibi,Someone insists they never left their seat,conversation; temporary blackout; object moved,A blurry reflection showing them standing,TMP,a lookalike in the crowd,partial deception,They stood briefly without being noticed,H1: deliberate lie; H2: mistaken reflection; H3: memory distortion,medium
object_switch,Two similar briefcases cause confusion,crowd disperses; briefcases moved; owner complains,A small scratch marking the genuine one,ID,a rushing courier,swap clarified,Wrong case picked in haste,H1: theft; H2: accidental switch; H3: staged misdirection,low
noise_confusion,A loud thud interrupts a quiet archive room,thud; footsteps; a shelf shifts,A fallen heavy book seen in security footage,CAU,a suspicious shadow near doorway,mundane cause,Noise was caused by falling object not intruder,H1: break-in; H2: accidental fall; H3: staged sound,medium
misplaced_docs,Important papers vanish during a team briefing,handoff; papers missing; stressed witnesses,A draft copy found in the wrong folder,TMP,a coworker leaving abruptly,clerical slip,Papers were misfiled under pressure,H1: sabotage; H2: misplacement; H3: concealment attempt,low
shadow_misread,A figure is seen near storage at night,shadow movement; guard startled; lock intact,Lighting pattern showing shadow was from a swinging sign,CAU,footprints from earlier rain,optical illusion,Nothing happened; the shadow was misinterpreted,H1: trespasser; H2: illusion; H3: animal movement,low
coincidence_overlap,Two events seem connected but are not,package arrives; power flickers; suspect runs,Delivery timestamp unrelated to power logs,CAU,a nervous intern dropping files,coincidental,Two unrelated events caused apparent pattern,H1: sabotage; H2: coincidence; H3: staged event,medium
double_claim,Two people claim ownership of the same umbrella,rainstorm; crowded entrance; mix-up,A name faintly written on the umbrella's inner tag,ID,a third person using similar model,ownership clarified,One claim matches the physical identifier,H1: theft; H2: mix-up; H3: opportunistic claim,low
time_misread,Someone claims a meeting ended earlier than logs show,discussion; departure; log discrepancy,A wall clock running several minutes slow,TMP,confusing hallway chatter,perception drift,Person relied on faulty clock causing wrong recollection,H1: lie; H2: memory drift; H3: incorrect instrumentation,medium
object_misread,A figure holding a “weapon” is seen near lockers,shouting; panic; guard intervention,The object is a folded tripod,ID,a dented locker door,innocent misread,The figure was carrying equipment,not a weapon,H1: armed threat; H2: filming gear; H3: mistaken shape
false_route,A suspect is seen heading toward the exit,camera blur; footsteps; door sensor,A time-stamped cleaning robot log proves door never opened,TMP,a coat found near exit,incorrect assumption,The movement was misattributed; robot triggered sensor,H1: escape attempt; H2: robot; H3: camera artifact,medium
coat_confusion,A group hangs identical jackets at a venue,crowd exit; missing jacket; raised voices,A pocket receipt identifying one owner,ID,a torn sleeve jacket on the floor,mix-up resolved,Wrong jacket taken due to similarity,H1: theft; H2: mix-up; H3: opportunistic grab,low
sound_overlap,Two loud sounds occur minutes apart,bang; echo; startled witnesses,Acoustic analysis shows first sound was a dropped tray,CAU,a cracked window frame,mundane cause,Only one sound was suspicious; the other was accidental,H1: forced entry; H2: accident; H3: staged noise,medium
timer_error,A suspect says they left before an alarm,alarm; evacuation; conflicting recollections,A smartwatch showing wrong timezone,TMP,a misplaced backpack,misremembrance,They relied on wrong clock setting causing confusion,H1: lie; H2: tech error; H3: misinterpretation,low
bag_shadow,A security guard sees a “bulky package” under a table,sudden alarm; bag search; crowd panic,Shadow analysis shows the light caused distortion,ID,a torn paper bag nearby,visual distortion,Shadow created illusion of a large package,H1: hidden item; H2: optical trick; H3: forgotten bag,low
fabricated_noise,A metal clank suggests a fall in warehouse,clank; hurried footsteps; dust shift,A loose ventilation grate explains the sound,CAU,a spilled set of nails,unexpected cause,Noise came from vibrating ductwork,H1: intruder; H2: structural noise; H3: falling tools,medium
item_switch,Two similar laptops brought to café,closing time; bag mix-up; dispute starts,Sticker residue unique to one laptop,ID,a stranger with a similar brand,identification match,Laptops accidentally swapped when packing,H1: theft; H2: mix-up; H3: deliberate switch,low
trail_mislead,Footprints lead away from storage,door ajar; footprints; missing envelope,Weather logs show rain started after event,CAU,a dog seen wandering earlier,footprint mismatch,Footprints unrelated; made after incident,H1: thief escaped; H2: unrelated passer; H3: staged tracks,medium
glare_confusion,Someone claims to see a figure through glass,glint; silhouette; rushing sound,Reflection pattern matches overhead lights,ID,a curtain fluttering,illusion resolved,Reflections formed human-like silhouette,H1: intruder; H2: light reflection; H3: passing staff,low
message_mixup,A text message suggests guilt,argument; screenshot; confrontation,System shows message came from group chat,CAU,a deleted notification,communication error,Message interpreted incorrectly out of context,H1: confession; H2: wrong sender; H3: spoofed message,medium
noise_chain,Series of clacks mistaken for coded signals,clacking; hushed whispers; guard alerted,Pipes contracting from temperature shift,CAU,a loose ladder,natural cause,Building contraction noises misinterpreted,H1: secret communication; H2: pipe noise; H3: staged signals,low
alibi_overlap,Two suspects claim identical movements,matching story; timeline check; CCTV review,One suspect seen taking a slower route,TMP,a busker blocking walkway,partial overlap,They followed similar paths but at different times,H1: coordinated cover; H2: coincidence; H3: memory drift,medium
