"evidence_type","contamination_source","signal_vs_noise_ratio","how_detected","impact_on_conclusions","notes"
"fingerprint","cleaning_product","low","smudge_pattern","Reduces clarity.","detergent alters ridge detail."
"fingerprint","multiple_users","low","overlapping_ridges","Identity uncertain.","common in public spaces."
"blood_trace","animal_blood","low","protein_test","False-positive risk.","use enzymatic confirmation."
"hair","shared_clothing","low","color_mismatch","Weak association.","hair transfers easily."
"fiber","laundry_mix","medium","texture_variance","May mislead transfer analysis.","check washing habits."
"soil_trace","shoe_cross-transfer","medium","soil_type mismatch","Path reconstruction weakened.","Check second pair of shoes."
"glass_fragment","pocket_debris","low","shard_uniformity","Accidental presence.","compare refractive index."
"metal_residue","workplace_transfer","medium","chemical_profile","Weakens weapon link.","verify employment."
"soot","ventilation_system","low","distribution_pattern","Misleading fire origin.","inspect airflow routes."
"latex_residue","glove_disposal","medium","fragment_cluster","Not necessarily tied to suspect.","check trash."
"skin_cell_trace","social_contact","low","cell_density","Weak identifier.","evaluate contact networks."
"cosmetic_powder","shared_bathroom","low","particle_mix","Misinterpreted as scene presence.","Check household members."
"pollen","airflow_draft","low","pollen_cluster","Seasonal noise.","correlate with window usage."
"grease","tabletop_smearing","low","spread_pattern","Not tied to event.","common in shared surfaces."
"ink_trace","pen_leak","medium","ink_trail","Innocuous origin.","inspect personal items."
"watermark","humidity","low","condensation_pattern","Not evidence of cleaning.","monitor temp changes."
"toolmark","storage_contact","medium","striation mismatch","False tool use.","check storage bins."
"footwear_mark","joint_cleaning","low","uniform_streaks","Inconsistent with stride.","mop patterns common."
"dust","old_furniture","low","settling_layers","Temporal ambiguity.","do not use for timing."
"fabric_imprint","stacked_items","medium","layer_order","Weak cause indicator.","check stacking order."
"smoke_trace","candle_residue","low","soot_density","Unrelated ignition source.","evaluate ambient burning."
"fingerprint","plastic_bag_wrinkles","low","pressure_artifacts","False placement impression.","bag folds distort."
"blood_trace","meat_preparation","low","protein_overlap","Non-human origin risk.","assess kitchen activity."
"hair","pillow_transfer","low","location_mismatch","Weak presence indicator.","pillows rotate frequently."
"fiber","carpet_shedding","medium","color_shift","Scene noise source.","new carpets shed fibers."
"soil_trace","planter_spill","low","granule_shape","Domestic contamination.","inspect nearby plants."
"glass_fragment","keychain_scrape","low","minor_shards","Not tied to window break.","common accessory wear."
"metal_residue","bicycle_chain","medium","grease_profile","Not weapon linked.","check recent cycling."
"soot","candle_snuffing","low","residue_ring","Event misinterpreted.","common household practice."
"latex_residue","balloon_fragments","medium","dusting_pattern","Harmless origin.","children's toys."
"skin_cell_trace","public_transport","low","random_distribution","Overly weak linkage.","high-traffic area."
"cosmetic_powder","store_testing","low","particle_uniformity","Incidental contact.","Check shopping behavior."
"pollen","potted_plant","low","cluster_density","Indoor origin.","review household flora."
"grease","kitchen_towel","low","streak_direction","Ambient handling trace.","frequent reuse."
