pattern_type,surface_form,deep_structure,example_trigger,severity,recommended_response_style
timeline,Simultaneous Impossibility,Claim places person in two locations within overlapping timestamps.,'I left at 18:00' vs 'I arrived there at 18:05' (distance incompatible).,high,"Flag contradiction, request precise timestamps."
timeline,Reverse Chronology,Effect described before its stated cause.,'He reacted before I told him the news.',medium,Note temporal inversion; ask to restate event order.
timeline,Time Compression,Actions impossible to complete within claimed duration.,"'I cooked, cleaned, showered in 10 minutes.'",medium,Request expanded breakdown of steps.
self_reference,Certainty Reversal,Shift from absolute certainty to claimed lack of memory.,'I’m 100% sure' → 'I don’t remember.',high,Highlight inconsistency; ask which statement is accurate.
identity,Identity Drift,Changes relational label for same person.,'My friend Mark' later becomes 'some guy.',medium,Ask to clarify relationship definitively.
role,Role Flip,Contradiction between bystander vs participant positions.,'I watched from afar' vs 'When I grabbed the door…',high,Request clarification of involvement.
knowledge,Premature Knowledge,Knows information not yet disclosed.,Mentions detail before anyone has introduced it.,high,Ask source of knowledge; maintain neutral tone.
knowledge,Impossible Expertise,Displays expertise after denying familiarity.,'I don't know electronics' but explains circuitry.,medium,Ask how they acquired the explanation.
knowledge,Blindspot Conflict,Claims not seeing something obvious but later describes it.,Describes object they previously claimed not to notice.,medium,Point out inconsistency; request recounting.
sensory,Line-of-Sight Break,Visual claim made from impossible angle.,Describes face of someone standing behind them.,high,Flag geometric inconsistency; ask for perspective.
environment,Environmental Disagreement,Scene conditions shift inconsistently with earlier details.,Earlier 'total silence' becomes 'it was noisy.',medium,Ask which environmental state is accurate.
object,Object State Misalignment,Object changes condition without narrative explanation.,Broken vase later described as intact.,high,Ask for sequence around object state change.
motivation,Intent Reversal,Motivation contradicts described actions.,Claims wanting to avoid conflict but initiates one.,medium,Request motive clarification.
behavior,Risk-Logic Conflict,Takes unnecessary risk despite claiming risk-aversion.,'I avoid danger' but climbs unstable structure.,medium,Point out behavioral mismatch.
emotion,Emotional Inconsistency,Emotional response mismatches event significance.,"Calm about threat, panics over trivial cue.",low,Request emotional context and reasoning.
### --- NEW SYNTHETIC ROWS BEGIN ---,,,,,
### TIMELINE — Simultaneous Impossibility (15 rows),,,,,
timeline,Simultaneous Impossibility,Claim places person in two places at once.,Says they were on a call at 09:00 while also driving for 30 minutes starting at 08:45.,high,Flag timestamp overlap; request detailed sequence.
timeline,Simultaneous Impossibility,Denies timeline feasibility.,Claims being in a meeting at 14:00 but also arriving home at 14:05 despite 40-minute commute.,high,Ask for travel timeline clarification.
timeline,Simultaneous Impossibility,Mutually exclusive movement windows.,States leaving the store at 11:00 but arriving at work at 11:05 located 20 km away.,high,Request corrected time data.
timeline,Simultaneous Impossibility,Contradictory presence claims.,Says they were asleep at midnight but also texting someone continuously.,high,Ask which activity happened.
timeline,Simultaneous Impossibility,Temporal dual presence.,Attended two overlapping appointments in distant locations.,high,Highlight impossibility; request correction.
timeline,Simultaneous Impossibility,Overlap in task and travel.,Claims driving for an hour while participating in a 45-minute uninterrupted video call.,high,Ask for reconciliation of events.
timeline,Simultaneous Impossibility,Conflicting deadlines.,Finished a two-hour task in a one-hour window.,high,Flag contradiction; ask duration breakdown.
timeline,Simultaneous Impossibility,Describes simultaneous commitments.,Attended an event from 16:00–17:00 but claims arriving at a friend’s house at 16:30.,high,Request timestamp review.
timeline,Simultaneous Impossibility,Impossible overlap in activities.,Claims meeting someone at 10:00 across town but also being logged into work at 10:02.,high,Ask for actual timeline.
timeline,Simultaneous Impossibility,Two separate travel states.,Says they were already home when they also mention being caught in traffic.,high,Request clarification.
timeline,Simultaneous Impossibility,Location contradiction.,Claims being indoors all evening but also mentions walking outside at 18:30.,high,Ask for exact sequence.
timeline,Simultaneous Impossibility,Parallel actions conflict.,States typing continuously while simultaneously cooking dinner.,high,Flag motor-task conflict.
timeline,Simultaneous Impossibility,Impossible completion window.,Says they finished a one-hour workout between 07:00 and 07:20.,high,Ask for detailed breakdown.
timeline,Simultaneous Impossibility,Dual attendance claim.,Reports joining an online meeting yet also being in transit at that time.,high,Request timeline correction.
timeline,Simultaneous Impossibility,Conflicting check-in times.,Claims checking into hotel at 15:00 and boarding a bus at 15:05 in another city.,high,Ask for precise times.
