"fallacy_name","surface_form","deep_cause","example","correction_method"
"transfer_equals_presence","Found fiber = suspect was here","Ignores secondary transfer.","Fiber from coworker found.","Evaluate chain-of-transfer."
"uniqueness_assumption","Print looks unique","Overconfidence.","Partial print assumed unique.","Assess ridge quality."
"cause_from_coincidence","Two traces appear together","Assumes causal link.","Grease + ink found.","Explore independent origins."
"negative_evidence_fallacy","Nothing found = no involvement","Absence ≠ absence.","No prints in gloves case.","Consider evidence-destructive factors."
"overweighting_blood","Small blood = major injury","Misinterpreting volume.","Nosebleed misread.","Check droplet edges."
"intention_projection","Pattern looks deliberate","Anthropomorphism.","Vase fallen 'on purpose'.","Determine mechanical plausibility."
"freshness_confusion","Fresh mark = recent event","Environmental influence.","Fresh dust disturbed by airflow.","Check environmental conditions."
"misplaced_certainty","Clear print = recent","Longevity varies.","Old print preserved.","Assess surface age."
"noise_overinterpretation","Smudge = clue","Pattern-seeking.","Cleaning smear misread.","Confirm with secondary evidence."
"context_blindness","Trace = guilt","Ignoring context.","Metal dust on mechanic.","Check occupation."
"temporal_inversion","Sequence guessed wrong","Assumes order.","Glass shards over blood.","Layering check."
"exaggerated_matching","Similar color = match","Weak spectral inference.","Blue fiber matches many clothes.","Use deeper fiber analysis."
"space-assumption","Clutter = struggle","Ignoring lifestyle.","Messy room read as altercation.","Compare baseline state."
"staging-overclaim","Neatness = staged","Over-theorizing.","Clean floor seen as staging.","Check cleaning logs."
"excessive-degradation-claims","Damage = tampering","Ignoring wear.","Old scratch misread.","Evaluate aging pattern."
"chemical-fallacy","Smell = cause","Misinterpretation.","Bleach smell assumed cleaning.","Check ventilation."
"probability-neglect","Rare trace = guilt","Ignoring common sources.","Exotic pollen in shop.","Check visitor logs."
"straight-line-reasoning","Direct cause assumed","Ignores branches.","Footprint assumes direct route.","Consider alternate path."
"hyper-linkage","All traces connected","Overlinking.","Ink + soil linked.","Separate trace origins."
"toolmark-overfit","Mark = one tool only","Toolmark variability.","Scratches assumed specific tool.","Consider tool condition."
"secondary_transfer_blindspot","Fiber found means visit","Secondary transfer ignored.","Fiber from shared bus seat.","Audit transfer chain."
"innocent_cohabitation_transfer","Shared home equals guilt","Household mixing overlooked.","Partner hair on jacket.","Audit transfer chain."
"workspace_carryover","Work grime equals scene","Occupational carry ignored.","Grease from garage on shoes.","Audit transfer chain."
"laundry_crossmix_confusion","Laundry equals contact","Post wash mixing ignored.","Lint from roommate sweater.","Audit transfer chain."
"bag_residue_cascade","Bag dust equals site","Nested transfer missed.","Sand from borrowed backpack.","Audit transfer chain."
"shared_surface_equation","Common table equals contact","High traffic surface ignored.","Print on office kettle.","Audit transfer chain."
"handshake_shadow_transfer","Touch equals presence","Tertiary pass ignored.","Glitter after greeting.","Audit transfer chain."
"prior_scene_carryover","Old scene equals new","Historic transfer missed.","Paint fleck from last site.","Audit transfer chain."
"tourism_trace_confusion","Souvenir dust equals crime","Travel transfer ignored.","Pollen from park on coat.","Audit transfer chain."
"post_hoc_bite","Later trace equals cause","Post hoc error.","Footprint after rain read as cause.","Test alternate causes."
"reverse_cause_bias","Effect explains cause","Reverse inference.","Broken lock explains breakin alone.","Test alternate causes."
"common_cause_oversight","Two effects same cause","Common driver missed.","Soot and heat from heater.","Test alternate causes."
"parallel_event_confusion","Co events mean linked","Confounds ignored.","Party confetti with spill.","Test alternate causes."
"endpoint_causation","Outcome defines origin","Teleology bias.","Ash pattern defines start point.","Test alternate causes."
"chain_snip_fallacy","Missing step ignored","Incomplete chain.","No tool found yet cause assumed.","Test alternate causes."
"single_trigger_fetish","One trigger for many effects","Multi cause denial.","Noise blamed on one device.","Test alternate causes."
"hinge_event_myth","One moment explains all","Oversimplified timeline.","Door slam explains all disarray.","Test alternate causes."
"monotonic_path_assumption","Only straight progression","Nonlinearity ignored.","Stains read along single path.","Test alternate causes."
"clean_space_delusion","Clean equals untouched","False null.","Polished desk seen unused.","Model detection limits."
"sterile_container_assumption","Empty equals unvisited","Null misread.","No crumbs in bin equals no food.","Model detection limits."
"washed_out_conclusion","No DNA equals innocence","Destruction ignored.","Bleached sink read as clean life.","Model detection limits."
"erased_memory_equation","No footage equals nothing","Coverage assumption.","Camera blind spot ignored.","Model detection limits."
"sensor_zero_overread","Zero reading equals none","Sensitivity ignored.","Meter floor read as absence.","Model detection limits."
"small_sample_comfort","Tiny sample equals proof","Sampling error.","One swab defines room.","Model detection limits."
"blind_spot_forensics","Not seen equals not there","Observer limits.","No tracks on carpet path.","Model detection limits."
"missing_file_finality","No file equals no act","Record bias.","No receipt equals no purchase.","Model detection limits."
"failure_to_detect_fallacy","Failure equals inexistence","Capability overreach.","Dog did not alert therefore none.","Model detection limits."
